Point,Name,Transliteration,English,Pinyin,Korean 한글,Vietnamese,,
GB-34,陽陵泉,Yanglingquan,Yang Mound Spring,yáng líng quán,yang neung cheon 양릉천,Dương lăng tuyền,,
GB-35,陽交,Yangjiao,Yang Intersection,yáng jiāo,yang gyo 양교,Dương giao,,
GB-36,外丘,Waiqiu,Outer Hill,wài qiū,woe gu 외구,Ngoại khâu,,
GB-37,光明,Guangming,Bright Light,guāng míng,gwang myeong 광명,Quang minh,,
GB-38,陽輔,Yangfu,Yang Assistance,yáng fǔ,yang bo 양보,Dương phụ,,
GB-39,懸鐘[d],Xuanzhong,Suspended Bell,xuán zhōng,hyeon jong 현종/jeol gol 절골,Huyền chung,,
GB-40,丘墟,Qiuxu,Mound of Ruins,qiū xū,gu heo 구허,Khâu khư,,
GB-41,足臨泣,Zulinqi,Foot Governor of Tears,zú lín qì,[jok] im eup [족] 임읍,Túc lâm khấp,,
GB-42,地五會,Diwuhui,Earth Five Meetings,dì wǔ huì,ji o hoe 지오회,Địa ngũ hội,,
GB-43,俠谿,Xiaxi,Clamped Stream,xiá xī,hyeop gye 협계,Hiệp khê,,
GB-44,足竅陰,Zuqiaoyin,Yin Portals of the Foot,zú qiào yīn,[jok] gyu eum [족] 규음,Túc khiếu âm,,
LR-1,大敦,Dadun,dà dūn,Great and Thick,dae don 대돈,Đại đôn,,
LR-2,行間,Xingjian,xíng jiān,Interval Pass,haeng gan 행간,Hành gian,,
LR-3,太沖,Taichong,taì chōng,Supreme Rush,tae chung 태충,Thái xung,,
LR-4,中封,Zhongfeng,zhōng fēng,Middle Margin,jung bong 중봉,Trung phong,,
LR-5,蠡溝,Ligou,lǐ gōu,Gnawed Channel,yeo gu 여구,Lãi câu,,
LR-6,中都,Zhongdu,zhōng dū,Central Capital,jung do 중도,Trung đô,,
LR-7,膝關,Xiguan,xī guān,Knee Pass,seul gwan 슬관,Tất quan,,
LR-8,曲泉,Ququan,qū quán,Pool Spring,gok cheon 곡천,Khúc tuyền,,
LR-9,陰包,Yinbao,yīn bāo,Yin Wrapping,eum bo 음보,Âm bao,,
LR-10,足五里,Zuwuli,zú wǔ li,Foot Governor of Tears,[jok] o ri [족] 오리,(Túc) Ngũ lý,,
LR-11,陰廉,Yinlian,yīn lián,Yin Side,eum yeom 음염,Âm liêm,,
LR-12,急脈,Jimai,jí mài,Swift Pulse,geum maek 금맥,Cấp mạch,,
LR-13,章門,Zhangmen,zhāng mén,Gate of the Ordering,jang mun 장문,Chương môn,,
LR-14,期門,Qimen,qí mén,Cyclic Gate,gi mun 기문,Kỳ môn,,
GV-1,長強,Changqiang,cháng qiáng,Long and Rigid,jang gang 장강,Trường cường,,
GV-2,腰俞,Yaoshu,yāo shū,Low Back Transporter,yo yu 요유,Yêu du,,
GV-3,腰陽關,Yaoyangquan,yāo yáng guān,Low Back Yang Passage,[yo] yang gwan [요] 양관,(Yêu) Dương quan,,
GV-4,命門,Mingmen,mìng mén,Life Gate,myeong mun 명문,Mệnh môn,,
GV-5,懸樞,Xuanshu,xuán shū,Suspended Pivot,hyeon chu 현추,Huyền khu,,
GV-6,脊中,Jizhong,jì zhōng,Middle of the Spine,cheok jung 척중,Tích trung,,
GV-7,中樞,Zhongshu,zhōng shū,Central Pivot,jung chu 중추,Trung khu,,
GV-8,筋縮,Jinsuo,jīn suō,Muscle Spasm,geun chuk 근축,Cân súc,,
GV-9,至陽,Zhiyang,zhì yáng,Reaching Yang,ji yang 지양,Chí dương,,
GV-10,靈台,Lingtai,líng tái,Spirit Platform,yeong dae 영대,Linh đài,,
GV-11,神道,Shendao,shén dào,Way of the Spirit,sin do 신도,Thần đạo,,
GV-12,身柱,Shenzhu,shēn zhù,Body Pillar,sin ju 신주,Thân trụ,,
GV-13,陶道,Taodao,táo dào,Way of the Pot,do do 도도,Đào đạo,,
GV-14,大椎,Dazhui,dà zhuī,Great Vertebra,dae chu 대추,Đại chùy,,
GV-15,瘂門 (啞門),Yamen,yǎ mén,Mutism Gate,a mun 아문,Á môn,,
GV-16,風府,Fengfu,fēng fǔ,Wind Palace,pung bu 풍부,Phong phủ,,
GV-17,腦戶,Naohu,nǎo hù,Brain Door,noe ho 뇌호,Não hộ,,
GV-18,強間,Qiangjian,qiáng jiān,Rigid Space,gang gan 강간,Cường gian,,
GV-19,後頂,Houding,hòu dǐng,Back Vertex,hu jeong 후정,Hậu đính,,
GV-20,百會,Baihui,bǎi huì,One Hundred Meetings,baek hoe 백회,Bách hội,,
GV-21,前頂,Qianding,qián dǐng,Front Vertex,jeon jeong 전정,Tiền đính,,
GV-22,囟會,Xinhui,xìn huì,Fontanelle Meeting,sin hoe 신회,Tín hội,,
GV-23,上星,Shangxing,shàng xīng,Upper Star,sang seong 상성,Thượng tinh,,
GV-24,神庭,Shenting,shén tíng,Spirit Courtyard,sin jeong 신정,Thần đình,,
GV-25,素髎,Suliao,sù liáo,Plain Space,so ryo 소료,Tố liêu,,
GV-26,人中,Renzhong,rén zhōng,Middle of the Person,in jung 인중/su gu 수구,Nhân trung (Thủy câu),,
GV-27,兌端,Duiduan,duì duān,End Exchange,tae don 태단,Đoài đoan,,
GV-28,齦交,Yinjiao,yín jiāo,Gum Union,eun gyo 은교,Ngân giao,,
CV-1,會陰,Huiyin,huì yīn,Yin Meeting,hoe eum 회음,Hội âm,,
CV-2,曲骨,Qugu,qū gǔ,Crooked Bone,gok gol 곡골,Khúc cốt,,
CV-3,中極,Zhongji,zhōng jí,Middle Extremity,jung geuk 중극,Trung cực,,
CV-4,關元,Guanyuan,guān yuán,Origin Pass,gwan won 관원,Quan nguyên,,
CV-5,石門,Shimen,shí mén,Stone Gate,seong mun 석문,Thạch môn,,
CV-6,氣海,Qihai,qì hǎi,Sea of Qi,gi hae 기해,Khí hải,,
CV-7,陰交,Yinjiao,yīn jiāo,Yin Intersection,eum gyo 음교,Âm giao,,
CV-8,神闕,Shenque,shén què,Spirit Palace,sin gwol 신궐,Thần khuyết,,
CV-9,水分,Shuifen,shuǐ fēn,Water Division,su bun 수분,Thủy phân,,
CV-10,下脘,Xiawan,xià wǎn [or xià guǎn],Lower Epigastrium,ha wan 하완,Hạ quản,,
CV-11,建里,Jianli,jiàn lǐ,Internal Foundation,geol li 건리,Kiến lý,,
CV-12,中脘,Zhongwan,zhōng wǎn [or zhōng guǎn],Middle Epigastrium,jung wan 중완,Trung quản,,
CV-13,上脘,Shangwan,shàng wǎn [or shàng guǎn],Upper Epigastrium,sang wan 상완,Thượng quản,,
CV-14,巨闕,Juque,jù què,Great Palace,geo gwol 거궐,Cự khuyết,,
CV-15,鳩尾,Jiuwei,jiū wěi,Bird Tail,gu mi 구미,Cưu vĩ,,
CV-16,中庭,Zhongting,zhōng tíng,Central Courtyard,jung jeong 중정,Trung đình,,
CV-17,膻中,Shanzhong,shān zhōng,Middle of the Chest,dan jung 단중,Đản trung,,
CV-18,玉堂,Yutang,yù táng,Jade Hall,ok dang 옥당,Ngọc đường,,
CV-19,紫宮,Zigong,zǐ gōng,Violet Palace,ja gung 자궁,Tử cung,,
CV-20,華蓋,Huagai,huá gài,Splendid Cover,hwa gae 화개,Hoa cái,,
CV-21,璇璣,Xuanji,xuán jī,Jade Rotator,seon gi 선기,Toàn cơ,,
CV-22,天突,Tiantu,tiān tū,Heaven Projection,cheon dol 천돌,Thiên đột,,
CV-23,廉泉,Lianquan,lián quán,Lateral Spring,yeom cheon 염천,Liêm tuyền,,
CV-24,承漿,Chengjiang,chéng jiāng,Saliva Container,seung jang 승장,Thừa tương,,
