MeSH ID,MeSH Term
D004427,Ear Diseases
D004428,Ear Neoplasms
D004433,Earache
D018159,Endolymphatic Hydrops
D004844,Epistaxis
D015521,Ethmoid Sinusitis
D015522,Frontal Sinusitis
D006102,"Granuloma, Laryngeal"
D006311,Hearing Disorders
D034381,Hearing Loss
D006312,"Hearing Loss, Bilateral"
D006313,"Hearing Loss, Central"
D006314,"Hearing Loss, Conductive"
D006315,"Hearing Loss, Functional"
D006316,"Hearing Loss, High-Frequency"
D046089,"Hearing Loss, Mixed Conductive-Sensorineural"
D006317,"Hearing Loss, Noise-Induced"
D006319,"Hearing Loss, Sensorineural"
D003639,"Hearing Loss, Sudden"
D046088,"Hearing Loss, Unilateral"
D016697,Herpes Zoster Oticus
D006685,Hoarseness
D012001,Hyperacusis
D007012,Hypopharyngeal Neoplasms
D007619,Kartagener Syndrome
D007759,Labyrinth Diseases
D007762,Labyrinthitis
D007818,Laryngeal Diseases
D007819,Laryngeal Edema
D007822,Laryngeal Neoplasms
D061224,Laryngeal Nerve Injuries
D007826,Laryngismus
D007827,Laryngitis
D055092,Laryngomalacia
D007829,Laryngostenosis
D008417,Mastoiditis
D008444,Maxillary Sinus Neoplasms
D015523,Maxillary Sinusitis
D008575,Meniere Disease
D015508,Nasal Obstruction
D009298,Nasal Polyps
D061270,Nasal Septal Perforation
D000077274,Nasopharyngeal Carcinoma
D009302,Nasopharyngeal Diseases
D009303,Nasopharyngeal Neoplasms
D009304,Nasopharyngitis
D016518,Neurofibromatosis 2
D009464,"Neuroma, Acoustic"
D009667,"Nose Deformities, Acquired"
D009668,Nose Diseases
D009669,Nose Neoplasms
D009959,Oropharyngeal Neoplasms
D010031,Otitis
D010032,Otitis Externa
D010033,Otitis Media
D010034,Otitis Media with Effusion
D010035,"Otitis Media, Suppurative"
D059249,Otomycosis
D010038,Otorhinolaryngologic Diseases
D010039,Otorhinolaryngologic Neoplasms
D010040,Otosclerosis
D000081015,Ototoxicity
D010254,Paranasal Sinus Diseases
D010255,Paranasal Sinus Neoplasms
D000039,Peritonsillar Abscess
D010608,Pharyngeal Diseases
D010610,Pharyngeal Neoplasms
D010612,Pharyngitis
D011304,Presbycusis
D061226,Recurrent Laryngeal Nerve Injuries
D012181,Retrocochlear Diseases
D017703,Retropharyngeal Abscess
D012220,Rhinitis
D065631,"Rhinitis, Allergic"
D012221,"Rhinitis, Allergic, Perennial"
D006255,"Rhinitis, Allergic, Seasonal"
D012222,"Rhinitis, Atrophic"
D012223,"Rhinitis, Vasomotor"
D012226,Rhinoscleroma
D000084322,Semicircular Canal Dehiscence
D012852,Sinusitis
D015524,Sphenoid Sinusitis
D055955,Susac Syndrome
D014012,Tinnitus
D014067,Tonsillar Neoplasms
D014069,Tonsillitis
D018058,Tympanic Membrane Perforation
D052245,Usher Syndromes
D014681,Velopharyngeal Insufficiency
D014717,Vertigo
D015837,Vestibular Diseases
D020338,Vestibular Neuronitis
D000160,Vestibulocochlear Nerve Diseases
D064706,Vocal Cord Dysfunction
D014826,Vocal Cord Paralysis
D014832,Voice Disorders
D014929,Wolfram Syndrome
D015823,Acanthamoeba Keratitis
D058540,Aicardi Syndrome
D000417,Albinism
D016117,"Albinism, Ocular"
D016115,"Albinism, Oculocutaneous"
D056769,Alstrom Syndrome
D020757,Amaurosis Fugax
D000550,Amblyopia
D000793,Angioid Streaks
D015783,Aniridia
D000839,Aniseikonia
D015875,Anisocoria
D015858,Anisometropia
D000853,Anophthalmos
D001035,Aphakia
D001036,"Aphakia, Postcataract"
D001112,Arcus Senilis
D001248,Asthenopia
D001251,Astigmatism
D020788,Bardet-Biedl Syndrome
D001528,Behcet Syndrome
D000080365,Birdshot Chorioretinopathy
D001762,Blepharitis
D001763,Blepharoptosis
D001764,Blepharospasm
D001766,Blindness
D058442,Capsule Opacification
D002386,Cataract
D056833,Central Serous Chorioretinopathy
D017043,Chalazion
D058747,CHARGE Syndrome
D002609,Chediak-Higashi Syndrome
D002825,Chorioretinitis
D015862,Choroid Diseases
D002832,Choroid Hemorrhage
D002830,Choroid Neoplasms
D000080324,Choroidal Effusions
D020256,Choroidal Neovascularization
D015794,Choroideremia
D002833,Choroiditis
D055952,Cogan Syndrome
D003103,Coloboma
D003117,Color Vision Defects
D000077765,Cone Dystrophy
D000071700,Cone-Rod Dystrophies
D003229,Conjunctival Diseases
D003230,Conjunctival Neoplasms
D003231,Conjunctivitis
D003233,"Conjunctivitis, Allergic"
D003234,"Conjunctivitis, Bacterial"
D003235,"Conjunctivitis, Inclusion"
D003236,"Conjunctivitis, Viral"
D003316,Corneal Diseases
D003317,"Corneal Dystrophies, Hereditary"
D015715,Corneal Edema
D055954,Corneal Endothelial Cell Loss
D065306,Corneal Injuries
D016510,Corneal Neovascularization
D003318,Corneal Opacity
D057112,Corneal Perforation
D003320,Corneal Ulcer
D057108,Corneal Wavefront Aberration
D017726,Cytomegalovirus Retinitis
D003607,Dacryocystitis
D054062,Deaf-Blind Disorders
D003930,Diabetic Retinopathy
D004172,Diplopia
D015352,Dry Eye Syndromes
D004370,Duane Retraction Syndrome
D004479,Ectopia Lentis
D004483,Ectropion
D009877,Endophthalmitis
D015841,Enophthalmos
D004774,Entropion
D019773,Epiretinal Membrane
D004948,Esotropia
D017889,Exfoliation Syndrome
D005094,Exophthalmos
D005099,Exotropia
D005124,Eye Abnormalities
D005128,Eye Diseases
D015785,"Eye Diseases, Hereditary"
D005130,Eye Hemorrhage
D015817,Eye Infections
D015818,"Eye Infections, Bacterial"
D015821,"Eye Infections, Fungal"
D015828,"Eye Infections, Viral"
D005131,Eye Injuries
D005132,Eye Manifestations
D005134,Eye Neoplasms
D058447,Eye Pain
D005141,Eyelid Diseases
D005142,Eyelid Neoplasms
D000080345,Familial Exudative Vitreoretinopathies
D058497,Fraser Syndrome
D005642,Fuchs' Endothelial Dystrophy
D057092,Geographic Atrophy
D005901,Glaucoma
D015812,"Glaucoma, Angle-Closure"
D015355,"Glaucoma, Neovascular"
D005902,"Glaucoma, Open-Angle"
D006111,Graves Disease
D049970,Graves Ophthalmopathy
D015799,Gyrate Atrophy
D006423,Hemianopsia
D022861,Hermanski-Pudlak Syndrome
D006563,Herpes Zoster Ophthalmicus
D006726,Hordeolum
D006732,Horner Syndrome
D006871,Hydrophthalmos
D006956,Hyperopia
D058437,Hypertensive Retinopathy
D057129,Iridocorneal Endothelial Syndrome
D015863,Iridocyclitis
D007499,Iris Diseases
D015811,Iris Neoplasms
D007500,Iritis
D007625,Kearns-Sayre Syndrome
D007634,Keratitis
D007635,"Keratitis, Dendritic"
D016849,"Keratitis, Herpetic"
D007637,Keratoconjunctivitis
D007638,Keratoconjunctivitis Sicca
D007639,"Keratoconjunctivitis, Infectious"
D007640,Keratoconus
D007766,Lacrimal Apparatus Diseases
D007767,Lacrimal Duct Obstruction
D057130,Leber Congenital Amaurosis
D007905,Lens Diseases
D007906,Lens Subluxation
D057066,Low Tension Glaucoma
D008268,Macular Degeneration
D008269,Macular Edema
D008342,Mandibulofacial Dysostosis
D000080343,Meibomian Gland Dysfunction
D008850,Microphthalmos
D019846,Miller Fisher Syndrome
D015877,Miosis
D000080364,Multifocal Choroiditis
D015878,Mydriasis
D009216,Myopia
D047728,"Myopia, Degenerative"
D009471,Neuromyelitis Optica
D009755,Night Blindness
D020417,"Nystagmus, Congenital"
D009759,"Nystagmus, Pathologic"
D009798,Ocular Hypertension
D015814,Ocular Hypotension
D015835,Ocular Motility Disorders
D015840,Oculomotor Nerve Diseases
D015827,"Onchocerciasis, Ocular"
D009878,Ophthalmia Neonatorum
D009886,Ophthalmoplegia
D017246,"Ophthalmoplegia, Chronic Progressive External"
D053578,Opsoclonus-Myoclonus Syndrome
D015418,"Optic Atrophies, Hereditary"
D009896,Optic Atrophy
D029241,"Optic Atrophy, Autosomal Dominant"
D029242,"Optic Atrophy, Hereditary, Leber"
D015594,Optic Disk Drusen
D009901,Optic Nerve Diseases
D020339,Optic Nerve Glioma
D000080344,Optic Nerve Hypoplasia
D020221,Optic Nerve Injuries
D019574,Optic Nerve Neoplasms
D009902,Optic Neuritis
D018917,"Optic Neuropathy, Ischemic"
D054517,Orbital Cellulitis
D009916,Orbital Diseases
D009918,Orbital Neoplasms
D016727,Orbital Pseudotumor
D015864,Panuveitis
D010211,Papilledema
D015868,Pars Planitis
D010390,"Pemphigoid, Benign Mucous Membrane"
D054514,Persistent Hyperplastic Primary Vitreous
D020795,Photophobia
D059407,Pinguecula
D011305,Presbyopia
D011625,Pterygium
D011681,Pupil Disorders
D012030,Refractive Errors
D000080346,Retinal Arterial Macroaneurysm
D015356,Retinal Artery Occlusion
D012162,Retinal Degeneration
D012163,Retinal Detachment
D012164,Retinal Diseases
D015593,Retinal Drusen
D058499,Retinal Dystrophies
D012166,Retinal Hemorrhage
D015882,"Retinal Necrosis Syndrome, Acute"
D019572,Retinal Neoplasms
D015861,Retinal Neovascularization
D012167,Retinal Perforations
D058456,Retinal Telangiectasis
D031300,Retinal Vasculitis
D012170,Retinal Vein Occlusion
D012173,Retinitis
D012174,Retinitis Pigmentosa
D012175,Retinoblastoma
D012178,Retinopathy of Prematurity
D041441,Retinoschisis
D015423,Scleritis
D012607,Scotoma
D012859,Sjogren's Syndrome
D000080362,Stargardt Disease
D013285,Strabismus
D013494,"Supranuclear Palsy, Progressive"
D055955,Susac Syndrome
D000081028,Toxic Optic Neuropathy
D014126,"Toxoplasmosis, Ocular"
D014141,Trachoma
D058457,Trichiasis
D052245,Usher Syndromes
D014603,Uveal Diseases
D014604,Uveal Neoplasms
D014605,Uveitis
D014606,"Uveitis, Anterior"
D015867,"Uveitis, Intermediate"
D015866,"Uveitis, Posterior"
D014607,Uveomeningoencephalitic Syndrome
D014786,Vision Disorders
D015354,"Vision, Low"
D057826,Vitelliform Macular Dystrophy
D018630,"Vitreoretinopathy, Proliferative"
D020255,Vitreous Detachment
D014823,Vitreous Hemorrhage
D017624,WAGR Syndrome
D058494,Walker-Warburg Syndrome
D057135,Wet Macular Degeneration
D000080363,White Dot Syndromes
D014929,Wolfram Syndrome
D014985,Xerophthalmia
D058165,22q11 Deletion Syndrome
D058489,"46, XX Disorders of Sex Development"
D000172,Acromegaly
D049913,ACTH-Secreting Pituitary Adenoma
D000224,Addison Disease
D007516,"Adenoma, Islet Cell"
D000303,Adrenal Cortex Diseases
D000306,Adrenal Cortex Neoplasms
D000307,Adrenal Gland Diseases
D000310,Adrenal Gland Neoplasms
D000312,"Adrenal Hyperplasia, Congenital"
D000309,Adrenal Insufficiency
D018246,Adrenocortical Adenoma
D018268,Adrenocortical Carcinoma
D000308,Adrenocortical Hyperfunction
D047808,Adrenogenital Syndrome
D000326,Adrenoleukodystrophy
D013734,Androgen-Insensitivity Syndrome
D000858,Anovulation
D001477,Bartter Syndrome
D001849,"Bone Diseases, Endocrine"
D001948,Brenner Tumor
D018269,"Carcinoma, Endometrioid"
D018273,"Carcinoma, Islet Cell"
D000077216,"Carcinoma, Ovarian Epithelial"
D021441,"Carcinoma, Pancreatic Ductal"
D012080,Chronic Kidney Disease-Mineral and Bone Disorder
D003409,Congenital Hypothyroidism
D003456,Cryptorchidism
D003480,Cushing Syndrome
D030321,Denys-Drash Syndrome
D048909,Diabetes Complications
D003919,Diabetes Insipidus
D020790,"Diabetes Insipidus, Neurogenic"
D003920,Diabetes Mellitus
D003921,"Diabetes Mellitus, Experimental"
D003923,"Diabetes Mellitus, Lipoatrophic"
D003922,"Diabetes Mellitus, Type 1"
D003924,"Diabetes Mellitus, Type 2"
D016640,"Diabetes, Gestational"
D003925,Diabetic Angiopathies
D058065,Diabetic Cardiomyopathies
D017719,Diabetic Foot
D016883,Diabetic Ketoacidosis
D003928,Diabetic Nephropathies
D003929,Diabetic Neuropathies
D003930,Diabetic Retinopathy
D004062,DiGeorge Syndrome
D058490,"Disorder of Sex Development, 46,XY"
D012734,Disorders of Sex Development
D004392,Dwarfism
D004393,"Dwarfism, Pituitary"
D004652,Empty Sella Syndrome
D004701,Endocrine Gland Neoplasms
D004700,Endocrine System Diseases
D005058,Eunuchism
D005067,Euthyroid Sick Syndromes
D005320,Fetal Macrosomia
D052159,Frasier Syndrome
D015408,Gastrinoma
D005877,Gigantism
D005935,Glucagonoma
D006042,Goiter
D006044,"Goiter, Nodular"
D006058,Gonadal Disorders
D006059,Gonadal Dysgenesis
D006106,Granulosa Cell Tumor
D006111,Graves Disease
D049970,Graves Ophthalmopathy
D049912,Growth Hormone-Secreting Pituitary Adenoma
D050031,Hashimoto Disease
D061325,Hereditary Breast and Ovarian Cancer Syndrome
D006929,Hyperaldosteronism
D017588,Hyperandrogenism
D006961,Hyperparathyroidism
D049950,"Hyperparathyroidism, Primary"
D006962,"Hyperparathyroidism, Secondary"
D006966,Hyperprolactinemia
D006980,Hyperthyroidism
D000075262,"Hypoadrenocorticism, Familial"
D006994,Hypoaldosteronism
D007006,Hypogonadism
D007011,Hypoparathyroidism
D007018,Hypopituitarism
D007037,Hypothyroidism
D007177,Inappropriate ADH Syndrome
D007340,Insulinoma
D017436,Kallmann Syndrome
D007713,Klinefelter Syndrome
D046150,Laron Syndrome
D000071698,Latent Autoimmune Diabetes in Adults
D007984,Leydig Cell Tumor
D008539,Meigs Syndrome
D009377,Multiple Endocrine Neoplasia
D018761,Multiple Endocrine Neoplasia Type 1
D018813,Multiple Endocrine Neoplasia Type 2a
D018814,Multiple Endocrine Neoplasia Type 2b
D009347,Nelson Syndrome
D009920,Orchitis
D010048,Ovarian Cysts
D010049,Ovarian Diseases
D016471,Ovarian Hyperstimulation Syndrome
D010051,Ovarian Neoplasms
D000082843,Ovarian Torsion
D000077779,Pancreatic Intraductal Neoplasms
D010190,Pancreatic Neoplasms
D010279,Parathyroid Diseases
D010282,Parathyroid Neoplasms
D047748,Pituitary ACTH Hypersecretion
D010900,Pituitary Diseases
D010911,Pituitary Neoplasms
D011085,Polycystic Ovary Syndrome
D016884,"Polyendocrinopathies, Autoimmune"
D050032,Postpartum Thyroiditis
D011236,Prediabetic State
D016649,Primary Ovarian Insufficiency
D015175,Prolactinoma
D011628,"Puberty, Delayed"
D011629,"Puberty, Precocious"
D012707,Sertoli Cell Tumor
D018310,Sertoli-Leydig Cell Tumor
D013005,Somatostatinoma
D013733,Testicular Diseases
D013736,Testicular Neoplasms
D000077273,"Thyroid Cancer, Papillary"
D013959,Thyroid Diseases
D050033,Thyroid Dysgenesis
D013964,Thyroid Neoplasms
D016606,Thyroid Nodule
D013966,Thyroiditis
D013967,"Thyroiditis, Autoimmune"
D013968,"Thyroiditis, Subacute"
D013971,Thyrotoxicosis
D014424,Turner Syndrome
D003969,Vipoma
D017624,WAGR Syndrome
D014929,Wolfram Syndrome
D058165,22q11 Deletion Syndrome
D054058,Acute Coronary Syndrome
D000219,Adams-Stokes Syndrome
D016738,Alagille Syndrome
D050030,Andersen Syndrome
D000783,Aneurysm
,"Aneurysm, Dissecting"
D017541,"Aneurysm, False"
D017542,"Aneurysm, Ruptured"
D000787,Angina Pectoris
D000788,"Angina Pectoris, Variant"
D060050,"Angina, Stable"
D000789,"Angina, Unstable"
D016888,Angiodysplasia
D000799,Angioedema
D054179,"Angioedemas, Hereditary"
D000798,Angiomatosis
D000080038,Anomalous Left Coronary Artery
D000868,Anterior Compartment Syndrome
D056988,Anterior Wall Myocardial Infarction
D056648,Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis
D001014,Aortic Aneurysm
D017544,"Aortic Aneurysm, Abdominal"
D017545,"Aortic Aneurysm, Thoracic"
D001015,Aortic Arch Syndromes
D001017,Aortic Coarctation
D001018,Aortic Diseases
D001019,Aortic Rupture
D021921,"Aortic Stenosis, Supravalvular"
D000082862,Aortic Valve Disease
D001022,Aortic Valve Insufficiency
D001024,Aortic Valve Stenosis
D001025,Aortitis
D001146,"Arrhythmia, Sinus"
D001145,"Arrhythmias, Cardiac"
D019571,Arrhythmogenic Right Ventricular Dysplasia
D001157,Arterial Occlusive Diseases
D001161,Arteriosclerosis
D001162,Arteriosclerosis Obliterans
D001164,Arteriovenous Fistula
D001165,Arteriovenous Malformations
D001167,Arteritis
D001260,Ataxia Telangiectasia
D050197,Atherosclerosis
D001281,Atrial Fibrillation
D001282,Atrial Flutter
D018880,Atrial Premature Complexes
D054537,Atrioventricular Block
D056889,Barth Syndrome
D020145,Basal Ganglia Hemorrhage
D001528,Behcet Syndrome
D000082882,Bicuspid Aortic Valve Disease
D001919,Bradycardia
D020201,"Brain Hemorrhage, Traumatic"
D020520,Brain Infarction
D002545,Brain Ischemia
D020526,Brain Stem Infarctions
D053840,Brugada Syndrome
D006502,Budd-Chiari Syndrome
D002037,Bundle-Branch Block
D046589,CADASIL
D019559,Capillary Leak Syndrome
D002275,Carcinoid Heart Disease
D005117,"Cardiac Complexes, Premature"
D000075224,Cardiac Conduction System Disease
D016534,"Cardiac Output, High"
D002303,"Cardiac Output, Low"
D002305,Cardiac Tamponade
D059347,Cardio-Renal Syndrome
D006332,Cardiomegaly
D009202,Cardiomyopathies
D002310,"Cardiomyopathy, Alcoholic"
D002311,"Cardiomyopathy, Dilated"
D002312,"Cardiomyopathy, Hypertrophic"
D024741,"Cardiomyopathy, Hypertrophic, Familial"
D002313,"Cardiomyopathy, Restrictive"
D066126,Cardiotoxicity
D018376,Cardiovascular Abnormalities
D053821,Cardiovascular Infections
D056733,Carney Complex
D002340,Carotid Artery Diseases
D020212,Carotid Artery Injuries
D002341,Carotid Artery Thrombosis
D016893,Carotid Stenosis
D020216,Carotid-Cavernous Sinus Fistula
D020226,Cavernous Sinus Thrombosis
D020785,Central Nervous System Vascular Malformations
D016657,Cerebral Amyloid Angiopathy
D028243,"Cerebral Amyloid Angiopathy, Familial"
D002539,Cerebral Arterial Diseases
D002543,Cerebral Hemorrhage
D020202,"Cerebral Hemorrhage, Traumatic"
D002544,Cerebral Infarction
D059345,Cerebral Small Vessel Diseases
D002561,Cerebrovascular Disorders
D020214,Cerebrovascular Trauma
D002598,Chagas Cardiomyopathy
D000083182,Chronic Exertional Compartment Syndrome
D015267,Churg-Strauss Syndrome
D055952,Cogan Syndrome
D017091,"Colitis, Ischemic"
D003161,Compartment Syndromes
D000080041,Congenitally Corrected Transposition of the Great Arteries
D003323,Coronary Aneurysm
D003324,Coronary Artery Disease
D003327,Coronary Disease
D054059,Coronary Occlusion
D023903,Coronary Restenosis
D023921,Coronary Stenosis
D003328,Coronary Thrombosis
D003329,Coronary Vasospasm
D003330,Coronary Vessel Anomalies
D017675,CREST Syndrome
D003449,Cryoglobulinemia
D016757,"Death, Sudden, Cardiac"
D015161,"Dementia, Multi-Infarct"
D015140,"Dementia, Vascular"
D003914,Dextrocardia
D003925,Diabetic Angiopathies
D058065,Diabetic Cardiomyopathies
D017719,Diabetic Foot
D003930,Diabetic Retinopathy
D004062,DiGeorge Syndrome
D004310,Double Outlet Right Ventricle
D004374,"Ductus Arteriosus, Patent"
D004418,"Dyspnea, Paroxysmal"
D004437,Ebstein Anomaly
D004489,"Edema, Cardiac"
D004535,Ehlers-Danlos Syndrome
D004541,Eisenmenger Complex
D000083262,Embolic Stroke
D004617,Embolism
D016769,Embolism and Thrombosis
D004618,"Embolism, Air"
D004619,"Embolism, Amniotic Fluid"
D017700,"Embolism, Cholesterol"
D004620,"Embolism, Fat"
D019320,"Embolism, Paradoxical"
D004694,Endocardial Cushion Defects
D004696,Endocarditis
D004697,"Endocarditis, Bacterial"
D004698,"Endocarditis, Subacute Bacterial"
D057867,Endoleak
D004719,Endomyocardial Fibrosis
D004916,Erythromelalgia
D000075222,Essential Hypertension
D000795,Fabry Disease
D005352,Fibromuscular Dysplasia
D054092,"Foramen Ovale, Patent"
D020252,Gastric Antral Vascular Ectasia
D013700,Giant Cell Arteritis
D052120,Glycogen Storage Disease Type IIb
D014890,Granulomatosis with Polyangiitis
D053421,Hand-Arm Vibration Syndrome
D006323,Heart Arrest
D006327,Heart Block
D006330,"Heart Defects, Congenital"
D006331,Heart Diseases
D006333,Heart Failure
D054144,"Heart Failure, Diastolic"
D054143,"Heart Failure, Systolic"
D006338,Heart Neoplasms
D006341,Heart Rupture
D006342,"Heart Rupture, Post-Infarction"
D006343,Heart Septal Defects
D006344,"Heart Septal Defects, Atrial"
D006345,"Heart Septal Defects, Ventricular"
D006349,Heart Valve Diseases
D006392,"Hemangioma, Cavernous"
D020786,"Hemangioma, Cavernous, Central Nervous System"
D006407,"Hematoma, Epidural, Cranial"
D006408,"Hematoma, Subdural"
D020199,"Hematoma, Subdural, Acute"
D020200,"Hematoma, Subdural, Chronic"
D046648,"Hematoma, Subdural, Intracranial"
D000083302,Hemorrhagic Stroke
D006484,Hemorrhoids
D020141,Hemostatic Disorders
D006504,Hepatic Veno-Occlusive Disease
D056828,Hereditary Angioedema Type III
D056829,Hereditary Angioedema Types I and II
D059446,Heterotaxy Syndrome
D006940,Hyperemia
D006973,Hypertension
D006974,"Hypertension, Malignant"
D046110,"Hypertension, Pregnancy-Induced"
D006976,"Hypertension, Pulmonary"
D006977,"Hypertension, Renal"
D006978,"Hypertension, Renovascular"
D058437,Hypertensive Retinopathy
D017379,"Hypertrophy, Left Ventricular"
D017380,"Hypertrophy, Right Ventricular"
D018636,Hypoplastic Left Heart Syndrome
D007022,Hypotension
D007024,"Hypotension, Orthostatic"
D020925,"Hypoxia-Ischemia, Brain"
D017543,Iliac Aneurysm
D020243,"Infarction, Anterior Cerebral Artery"
D020244,"Infarction, Middle Cerebral Artery"
D020762,"Infarction, Posterior Cerebral Artery"
D056989,Inferior Wall Myocardial Infarction
D007383,Intermittent Claudication
D059325,Intra-Abdominal Hypertension
D002532,Intracranial Aneurysm
D020765,Intracranial Arterial Diseases
D002537,Intracranial Arteriosclerosis
D002538,Intracranial Arteriovenous Malformations
D020766,Intracranial Embolism
D002542,Intracranial Embolism and Thrombosis
D020299,"Intracranial Hemorrhage, Hypertensive"
D020198,"Intracranial Hemorrhage, Traumatic"
D020300,Intracranial Hemorrhages
D020767,Intracranial Thrombosis
D002546,"Ischemic Attack, Transient"
D000083242,Ischemic Stroke
D056830,Isolated Noncompaction of the Ventricular Myocardium
D029593,Jervell-Lange Nielsen Syndrome
D007619,Kartagener Syndrome
D007625,Kearns-Sayre Syndrome
D007715,Klippel-Trenaunay-Weber Syndrome
D020227,Lateral Sinus Thrombosis
D044542,LEOPARD Syndrome
D007925,Leriche Syndrome
D007969,"Leukomalacia, Periventricular"
D055947,Loeys-Dietz Syndrome
D008133,Long QT Syndrome
D020945,"Lupus Vasculitis, Central Nervous System"
D008382,Marfan Syndrome
D059468,Masked Hypertension
D062108,May-Thurner Syndrome
D017241,MELAS Syndrome
D065666,Mesenteric Ischemia
D000071071,Microaneurysm
D055953,Microscopic Polyangiitis
D017566,Microvascular Angina
D008944,Mitral Valve Insufficiency
D008945,Mitral Valve Prolapse
D008946,Mitral Valve Stenosis
D009072,Moyamoya Disease
D009080,Mucocutaneous Lymph Node Syndrome
D009101,Multiple Myeloma
D054084,Myocardial Bridging
D009203,Myocardial Infarction
D017202,Myocardial Ischemia
D015428,Myocardial Reperfusion Injury
D017682,Myocardial Stunning
D009205,Myocarditis
D000072658,Non-ST Elevated Myocardial Infarction
D009634,Noonan Syndrome
D018917,"Optic Neuropathy, Ischemic"
D058687,Out-of-Hospital Cardiac Arrest
D010490,Pericardial Effusion
D010493,Pericarditis
D010494,"Pericarditis, Constrictive"
D010495,"Pericarditis, Tuberculous"
D058729,Peripheral Arterial Disease
D016491,Peripheral Vascular Diseases
D010689,Phlebitis
D010488,Polyarteritis Nodosa
D000083082,Popliteal Artery Entrapment Syndrome
D000080942,Post-Cardiac Arrest Syndrome
D057774,Post-Exercise Hypotension
D011185,Postpericardiotomy Syndrome
D011186,Postphlebitic Syndrome
D054070,Postthrombotic Syndrome
D011226,Pre-Excitation Syndromes
D011249,"Pregnancy Complications, Cardiovascular"
D058246,Prehypertension
D055031,Primary Graft Dysfunction
D011561,Pseudoxanthoma Elasticum
D018633,Pulmonary Atresia
D011655,Pulmonary Embolism
D011660,Pulmonary Heart Disease
D054060,Pulmonary Infarction
D011665,Pulmonary Valve Insufficiency
D011666,Pulmonary Valve Stenosis
D011668,Pulmonary Veno-Occlusive Disease
,"Purpura, Schoenlein-Henoch"
D011928,Raynaud Disease
D012078,Renal Artery Obstruction
D015427,Reperfusion Injury
D000080346,Retinal Arterial Macroaneurysm
D015356,Retinal Artery Occlusion
D058456,Retinal Telangiectasis
D031300,Retinal Vasculitis
D012170,Retinal Vein Occlusion
D012214,Rheumatic Heart Disease
D056653,Rheumatoid Vasculitis
D029597,Romano-Ward Syndrome
D020225,Sagittal Sinus Thrombosis
D058088,Sarcoglycanopathies
D012587,Scimitar Syndrome
D012614,Scurvy
D012770,"Shock, Cardiogenic"
D012791,Shy-Drager Syndrome
D012804,Sick Sinus Syndrome
D058529,Single Umbilical Artery
D012851,"Sinus Thrombosis, Intracranial"
D020760,Spinal Cord Ischemia
D020758,Spinal Cord Vascular Diseases
D013159,Splenic Infarction
D000072657,ST Elevation Myocardial Infarction
D000071079,"Stenosis, Pulmonary Artery"
D000071078,"Stenosis, Pulmonary Vein"
D020521,Stroke
D059409,"Stroke, Lacunar"
D013341,Sturge-Weber Syndrome
D013345,Subarachnoid Hemorrhage
D020206,"Subarachnoid Hemorrhage, Traumatic"
D013349,Subclavian Steal Syndrome
D013479,Superior Vena Cava Syndrome
D055955,Susac Syndrome
D056647,Systemic Vasculitis
D013610,Tachycardia
D013611,"Tachycardia, Atrioventricular Nodal Reentry"
D013612,"Tachycardia, Ectopic Atrial"
D013613,"Tachycardia, Ectopic Junctional"
D013614,"Tachycardia, Paroxysmal"
D054139,"Tachycardia, Reciprocating"
D013616,"Tachycardia, Sinus"
D013617,"Tachycardia, Supraventricular"
D017180,"Tachycardia, Ventricular"
D013625,Takayasu Arteritis
D054549,Takotsubo Cardiomyopathy
D013683,"Telangiectasia, Hereditary Hemorrhagic"
D013684,Telangiectasis
D013771,Tetralogy of Fallot
D013901,Thoracic Outlet Syndrome
D013919,Thromboangiitis Obliterans
D013923,Thromboembolism
D013924,Thrombophlebitis
D013927,Thrombosis
D000083244,Thrombotic Stroke
D016171,Torsades de Pointes
D014188,Transposition of Great Vessels
D018785,Tricuspid Atresia
D014262,Tricuspid Valve Insufficiency
D000073839,Trisomy 13 Syndrome
D000073842,Trisomy 18 Syndrome
D014339,"Truncus Arteriosus, Persistent"
D014424,Turner Syndrome
D000080039,Univentricular Heart
D056824,Upper Extremity Deep Vein Thrombosis
D014646,Varicocele
D014647,Varicose Ulcer
D014648,Varicose Veins
D014652,Vascular Diseases
D016157,Vascular Fistula
D014653,Vascular Headaches
D054079,Vascular Malformations
D019043,Vascular Neoplasms
D000073872,Vascular Ring
D057772,Vascular System Injuries
D014657,Vasculitis
D020293,"Vasculitis, Central Nervous System"
D018366,"Vasculitis, Leukocytoclastic, Cutaneous"
D056987,Vasoplegia
D020301,"Vasospasm, Intracranial"
D054080,Vein of Galen Malformations
D014689,Venous Insufficiency
D054556,Venous Thromboembolism
D020246,Venous Thrombosis
D018754,Ventricular Dysfunction
D018487,"Ventricular Dysfunction, Left"
D018497,"Ventricular Dysfunction, Right"
D014693,Ventricular Fibrillation
D054141,Ventricular Flutter
D014694,Ventricular Outflow Obstruction
D018879,Ventricular Premature Complexes
D018658,Ventricular Septal Rupture
D020217,Vertebral Artery Dissection
D014715,Vertebrobasilar Insufficiency
,Von Hippel-Lindau Disease
D008258,Waldenstrom Macroglobulinemia
D059466,White Coat Hypertension
D018980,Williams Syndrome
D014927,Wolff-Parkinson-White Syndrome
D000163,Acquired Immunodeficiency Syndrome
D056150,Acute Generalized Exanthematous Pustulosis
D000224,Addison Disease
